iteration,Accuracy
0,0.683965003604156
1,0.6723869463517971
2,0.6888664388959848
3,0.6837402067880085
4,0.65082988935361
5,0.6742640912387936
6,0.667710302586069
7,0.6790380703124754
8,0.6882847569783179
9,0.6715294847762638
10,0.6863774811918011
11,0.6913252696211905
12,0.6173726502561336
13,0.6916775268982638
14,0.69092434796621
15,0.6900344438211614
16,0.6851978942322771
17,0.554557758189088
18,0.7014294196885725
19,0.7013367203415328
20,0.6999230663357737
21,0.7005719547027043
22,0.6998280509685484
23,0.6979949363514041
24,0.6970957602845272
25,0.691809620017181
26,0.6989196042687889
27,0.6852094764545956
28,0.6899232026981487
29,0.7010354463089735
