iteration,Accuracy
0,0.6937215276292452
1,0.7005649996603589
2,0.6976635329768002
3,0.6906207599005894
4,0.629448957570198
5,0.6421185350661796
6,0.6597521235786803
7,0.6682386855612721
8,0.6527603358683731
9,0.6798074658434331
10,0.7008662700946118
11,0.70382567329273
12,0.7059160272955374
13,0.705579994485306
14,0.7041037692124597
15,0.6540117633315095
16,0.7049681816681186
17,0.6717473229249069
18,0.7047735190007082
19,0.6653719754802905
20,0.7062126615271991
21,0.7057213618085588
22,0.694996132721857
23,0.700259094473578
24,0.7054525342660575
25,0.6550268186305557
26,0.6836753168691382
27,0.7020087801617412
28,0.6958860396864737
29,0.6688597614119345
