iteration,Accuracy
0,0.9960457918168327
1,0.9822969401455728
2,0.9961356794572822
3,0.9964052212362577
4,0.8508260900289732
5,0.995955984937965
6,0.9943383708369927
7,0.9946079529967594
8,0.8600820941478139
9,0.996135719838073
10,0.8028393753091654
11,0.9956863220166167
12,0.9961356794572822
13,0.9070804082497956
14,0.9954168206184318
15,0.9960459129592054
16,0.9245143705139466
17,0.9955065871165086
18,0.9959559849379651
19,0.9955965958993307
20,0.9960459129592053
21,0.9958660569167247
22,0.9962255267169408
23,0.9823868681668131
24,0.9953269733587732
25,0.9963154547381811
26,0.9953268522164006
27,0.9963153335958085
28,0.9958660569167247
29,0.9961356794572822
