iteration,Accuracy
0,0.5832247708576137
1,0.5742096028483242
2,0.5540877635617714
3,0.6975446011193505
4,0.34779199378423253
5,0.6252939041935084
6,0.6512928027731885
7,0.34779199378423253
8,0.6032115367374906
9,0.4314076407832891
10,0.6677555359178288
11,0.6207203630417986
12,0.6461975811443671
13,0.6826475070759852
14,0.6316947784992508
15,0.5216870514807272
16,0.6039978142356442
17,0.6401881806500087
18,0.6968913478737893
19,0.5799573092899253
20,0.6418853925197336
21,0.34779199378423253
22,0.5292649086632257
23,0.605957061683807
24,0.4340204830026938
25,0.6017749943434809
26,0.4534855684054593
27,0.3990077825164466
28,0.5915837826530568
29,0.4580591095571693
