iteration,Accuracy
0,0.5350690630987407
1,0.5077216793195501
2,0.27766516221611176
3,0.6966461708660343
4,0.5788797588603587
5,0.27766516221611176
6,0.8538870138927859
7,0.27766516221611176
8,0.9065592708091165
9,0.2988098540175243
10,0.8096989762788498
11,0.8209665627179517
12,0.8727514610272484
13,0.8124845079003696
14,0.8661678197224649
15,0.6207888344650115
16,0.9049121780328842
17,0.8898451190867478
18,0.92251240570462
19,0.9065588699785957
20,0.791339335102332
21,0.9135228192815514
22,0.9139031272797234
23,0.9261838529432985
24,0.9307418571279692
25,0.6891624245436544
26,0.9196001314724107
27,0.9233996039794453
28,0.927323734778461
29,0.8803582623195261
