iteration,Accuracy
0,0.8053932548239953
1,0.6338296951283059
2,0.8526203092808299
3,0.720687745007656
4,0.27766516221611176
5,0.5677369910454461
6,0.8090654235576114
7,0.6325646740045373
8,0.9231446757681917
9,0.6938707401736398
10,0.27766516221611176
11,0.27766516221611176
12,0.8478092207053015
13,0.8161557948068399
14,0.5251946833839716
15,0.6556092223086234
16,0.5649519404205514
17,0.8117235712396085
18,0.27766516221611176
19,0.758546508365333
20,0.6312976487281647
21,0.8904783511435694
22,0.8376799929453828
23,0.8651558028234503
24,0.8274242630730875
25,0.5681176998741392
26,0.524308366936292
27,0.3464107230180935
28,0.6965058000176365
29,0.6097729695929968
