iteration,Accuracy
0,0.582078706199461
1,0.45244786408559995
2,0.7029043208363963
3,0.6711260312015029
4,0.4691374989790084
5,0.5099449481336273
6,0.4669650249121947
7,0.47599536061422854
8,0.5241197745650575
9,0.7155931716082659
10,0.6926156007514498
11,0.4606783304745569
12,0.7214216776933757
13,0.49348506085109856
14,0.6880437147757903
15,0.4638789839091726
16,0.7177626398758473
17,0.5274362166135751
18,0.49314200767785676
19,0.7170788858939802
20,0.5972801437556154
21,0.6139700400228701
22,0.49645668545291183
23,0.7141065425140897
24,0.715475749407825
25,0.4556481254594463
26,0.7081615290370007
27,0.6852985052683166
28,0.4519907865719187
29,0.6904445642407907
