iteration,Accuracy
0,0.6526212830883893
1,0.6715619261642459
2,0.7008755398681977
3,0.6517800431064236
4,0.7058163795925569
5,0.7048847560420601
6,0.7061686310425227
7,0.6339865533894878
8,0.7051141850328447
9,0.6627184791606938
10,0.7059878681750924
11,0.6522991596646699
12,0.6471845136727014
13,0.6448600936172212
14,0.6519075029497295
15,0.6881827846890348
16,0.6523802671491529
17,0.6384314514997729
18,0.6576478681915641
19,0.7025394811711075
20,0.6979462659852711
21,0.7014131911132169
22,0.6743753280921744
23,0.7053528832601542
24,0.6481254059226627
25,0.6842593180293546
26,0.6963703912371445
27,0.6716615775460915
28,0.7057375827845066
29,0.6953391187215747
