iteration,Accuracy
0,0.5829321554260428
1,0.9254229964486417
2,0.9206119880392173
3,0.9235245829358429
4,0.9213722833711451
5,0.90731756198844
6,0.7319578165959869
7,0.8878194819666347
8,0.9170672834112281
9,0.5887567840565653
10,0.9201067010846474
11,0.9118760471697357
12,0.7883008794221628
13,0.9036461949158656
14,0.6882757874315582
15,0.9150410049622819
16,0.9239042496051819
17,0.5833123030920067
18,0.628767205650107
19,0.602050087781884
20,0.9114983044868967
21,0.6072422058505222
22,0.9001022919489182
23,0.8737654820788674
24,0.9182070850802864
25,0.6174983365533385
26,0.620662492684843
27,0.8004546219767358
28,0.5793874507980535
29,0.9179529585300743
