iteration,Accuracy
0,0.7455404067630483
1,0.643461896593972
2,0.701073593073593
3,0.7211933676386507
4,0.6686090010618312
5,0.7081620517846933
6,0.7009598954504616
7,0.6511196928857306
8,0.6233419913419913
9,0.6384308421138609
10,0.5905356530262191
11,0.6444884423752348
12,0.724966952544311
13,0.6999323041738136
14,0.6322594788858941
15,0.7086178224291432
16,0.6576372457730948
17,0.7129635546843095
18,0.6918146859429879
19,0.7278221350976067
20,0.5737305562362167
21,0.679357085681614
22,0.6775260312015028
23,0.6099688638405618
24,0.7289678673527731
25,0.6611796455117209
26,0.614655362247815
27,0.6616357428734788
28,0.6918155354079882
29,0.6987870293228783
