iteration,Accuracy
0,0.9887669927415528
1,0.9955965151377489
2,0.9780733517065933
3,0.8589138374875074
4,0.8350992660791261
5,0.8319540870407947
6,0.9147187175060824
7,0.8433673945304218
8,0.8504664990863846
9,0.7928624125503497
10,0.9951471576970835
11,0.9964951896382891
12,0.9151679941851661
13,0.8611602208829261
14,0.9885873386030266
15,0.9955067082588813
16,0.8516345942235277
17,0.9960457918168328
18,0.8342013184328214
19,0.8532528140363629
20,0.9959560253187558
21,0.8760774099760743
22,0.9959559041763832
23,0.8466030265402746
24,0.8566673329497159
25,0.8501974014961083
26,0.9052830188679245
27,0.9963153739765993
28,0.8534321855093532
29,0.9806794068061823
