iteration,Accuracy
0,0.9959559445571742
1,0.9955067486396721
2,0.8640356158575365
3,0.9023174535873284
4,0.8264733638208304
5,0.8358184075835124
6,0.994428339239024
7,0.860171214553237
8,0.8471420293366446
9,0.8924330436011589
10,0.9960457514360419
11,0.9956862816358258
12,0.9764558183672027
13,0.9797808938288057
14,0.8912644235137345
15,0.9890366556629011
16,0.864305238398094
17,0.9916427511432812
18,0.8454350121647133
19,0.8549597908275034
20,0.9955965151377489
21,0.8532522890860819
22,0.9962256478593133
23,0.9864305198017302
24,0.8564879614767253
25,0.9187623691409996
26,0.8095775563564412
27,0.9960458725784145
28,0.9961357198380731
29,0.8743701101386069
