iteration,Accuracy
0,0.9833772070626002
1,0.21630120031900826
2,0.4581231412217209
3,0.9918224860433892
4,0.7678819265675318
5,0.7653656379660196
6,0.9911934744641974
7,0.9949676247009298
8,0.8534319028438173
9,0.850916179573377
10,0.21630120031900826
11,0.9920021401819156
12,0.7431709419828987
13,0.9923616503629222
14,0.996135719838073
15,0.9923616099821315
16,0.9963154143573902
17,0.8596322521376581
18,0.9398804728590611
19,0.9936197139020967
20,0.988138021543152
21,0.993260446005835
22,0.9933500105999575
23,0.994967543939348
24,0.9801404847713944
25,0.6471066153830622
26,0.9954168609992227
27,0.9818477846088616
28,0.9942485639581251
29,0.9954168206184318
