iteration,Accuracy
0,0.936736020674965
1,0.9711540224315293
2,0.9931703968422221
3,0.9592022774766044
4,0.9894860534843574
5,0.9839141908194273
6,0.9588430095803426
7,0.9644145491989461
8,0.9953269733587733
9,0.18439972944870126
10,0.9885875808877718
11,0.9914630566239641
12,0.9932602844826717
13,0.9952371260991146
14,0.9760065820689098
15,0.982566320401385
16,0.9915531057875769
17,0.9890367364244828
18,0.9862509464247857
19,0.994158918602421
20,0.9215533278819266
21,0.8192619199047012
22,0.9850827705260607
23,0.9958662992014699
24,0.9041153275386898
25,0.18439972944870126
26,0.9314276426703817
27,0.9953268925971915
28,0.9460812259608105
29,0.8791333070858194
