iteration,Accuracy
0,0.47726659921534476
1,0.6750704183262679
2,0.597071502670304
3,0.4585826684255239
4,0.6839551235255696
5,0.6945381505530582
6,0.461588435940455
7,0.6825190934200809
8,0.5471635011505146
9,0.7087792591454175
10,0.6914033717122818
11,0.7142656984413622
12,0.6737647656493471
13,0.7159631664553476
14,0.7091703060497005
15,0.5901469841147868
16,0.7136116767630195
17,0.5342301797705801
18,0.7194924928386334
19,0.6391411482947196
20,0.4949036684127167
21,0.7085159428456773
22,0.6981959759736684
23,0.71818547405899
24,0.7098233885324214
25,0.7102163138279479
26,0.6650112063113947
27,0.6826482755087666
28,0.70864905247969
29,0.5436362239213125
