iteration,Accuracy
0,0.9099769121619996
1,0.2988098540175243
2,0.8628770813124795
3,0.9196007728012441
4,0.8971884945607298
5,0.8662959251569251
6,0.8438848494079734
7,0.8761703850377984
8,0.8517343936636712
9,0.912383899439639
10,0.9193466462510322
11,0.8851599714608669
12,0.9240317137108089
13,0.9193468867493447
14,0.7701940019720862
15,0.8802223006068575
16,0.9137762243368259
17,0.8875657562469437
18,0.9211193593124956
19,0.9089642539341515
20,0.9190932411957575
21,0.9218787728172775
22,0.9227653297632695
23,0.9207393719787399
24,0.927576899335423
25,0.9261833719466737
26,0.9256769626666452
27,0.9240311525480797
28,0.9164334901916771
29,
