iteration,Accuracy
0,0.9038998404694526
1,0.5824261469765354
2,0.599392421096512
3,0.9041524438636855
4,0.5935670709710521
5,0.8965554228361166
6,0.9111167939971623
7,0.8908586591417418
8,0.9158016209586263
9,0.5923021300133877
10,0.6924550067740358
11,0.9120023889499042
12,0.911117194827683
13,0.773739428095013
14,0.9170672032451239
15,0.9135233804442805
16,0.7955174321193512
17,0.9231448361004
18,0.5866040836613463
19,0.8990880303989867
20,0.9247908867172783
21,0.9249173086635508
22,0.9159278825726906
23,0.9245380428247328
24,0.8347672377165487
25,0.9220048740991335
26,0.5993913789371578
27,0.714104905363914
28,0.8871858490792922
29,0.9156747981818327
