iteration,Accuracy
0,0.6450084168689696
1,0.6495622371013952
2,0.6487719797463241
3,0.6643105804970518
4,0.6127794342110002
5,0.630213722940496
6,0.6370270676166891
7,0.6544845309681208
8,0.5981562211850954
9,0.6605446995318282
10,0.6325335049942319
11,0.6099544472411849
12,0.6366748171871386
13,0.6841225879828142
14,0.6335045215378681
15,0.6189902436309705
16,0.6757565417035134
17,0.6592816800181639
18,0.6528414464946607
19,0.6085825021950453
20,0.7033529130675553
21,0.6900877422802705
22,0.7038048193365546
23,0.7039832618336082
24,0.554557758189088
25,0.7029380865910779
26,0.6958628658701288
27,0.7080944450872658
28,0.6979207747255299
29,0.674011491627175
