iteration,Accuracy
0,0.9476991631081095
1,0.6600476493332121
2,0.9928110078035879
3,0.9951472788394561
4,0.9012398114217067
5,0.905463197956732
6,0.9133739564089363
7,0.9954168609992227
8,0.9903846876041067
9,0.9732246282443441
10,0.9894858919611942
11,0.6365027812269703
12,0.9903847683656885
13,0.9760967523748952
14,0.6226640419152609
15,0.9938892960618635
16,0.9954168206184317
17,0.7703083679093854
18,0.7810019281827635
19,0.9904745752445562
20,0.9665707219075885
21,0.993979102940731
22,0.9944284603813965
23,0.992631232522689
24,0.9931703160806405
25,0.9065417688805436
26,0.9328833298000141
27,0.7751602006925307
28,0.9963155354997628
29,0.4479842111107747
