iteration,Accuracy
0,0.634886874132157
1,0.655580102915952
2,0.651804165645675
3,0.6906726129216695
4,0.6656394674507882
5,0.6420902066486973
6,0.6371752674997959
7,0.6844998774810096
8,0.651692493669852
9,0.6750099812137549
10,0.735025467614147
11,0.7086185412072205
12,0.6993590459854612
13,0.6524919709221597
14,0.6898721555174385
15,0.6490641182716654
16,0.6858717634566692
17,0.7391389692068937
18,0.681071306052438
19,0.6561504206485338
20,0.7163918647390345
21,0.73479500122519
22,0.7251934329821123
23,0.7249661030793108
24,0.7017600914808463
25,0.7442830678755208
26,0.7093038634321653
27,0.7415402760761252
28,0.7433684554439272
29,0.7288522094257944
