iteration,Accuracy
0,0.6769551253777669
1,0.7355961774074982
2,0.6627811484113371
3,0.6603799722290289
4,0.7072478967573307
5,0.7279370742465082
6,0.7003885975659562
7,0.7263368128726618
8,0.7147912113044189
9,0.6922745078820551
10,0.6379746794086417
11,0.6265448011108388
12,0.6314602630074329
13,0.6803833047455689
14,0.6609497672139182
15,0.6410617005635875
16,0.7159343298211222
17,0.6300871355060035
18,0.6566078248795229
19,0.6602649023932042
20,0.6696394021073266
21,0.7174201094502981
22,0.6426594788858939
23,0.6786698684962836
24,0.7355967001551906
25,0.6641508127093033
26,0.675127207383811
27,0.7098774483378257
28,0.7408541043861798
29,0.6867855264232622
