iteration,Accuracy
0,0.6049387241689128
1,0.6691825859674916
2,0.5273194478477496
3,0.6952446949277137
4,0.5176039859511558
5,0.6527223066241934
6,0.5930507228620436
7,0.43392743608592665
8,0.5341775708568162
9,0.5584116311361594
10,0.6747823899371069
11,0.6439187127338071
12,0.5118883933676386
13,0.5389798578779711
14,0.5020581230090664
15,0.5965925345095157
16,0.5349795965041249
17,0.6808418198154047
18,0.5425240872335212
19,0.5564703422363799
20,0.5930500040839664
21,0.6776397288246345
22,0.6352326063873234
23,0.6426605243812791
24,0.3478508862206976
25,0.6406046883933676
26,0.6446056032018296
27,0.671012529608756
28,0.6811846116148004
29,0.3478508862206976
