iteration,Accuracy
0,0.5821893326798987
1,0.6662070407579842
2,0.5916779220779221
3,0.5553261782242914
4,0.681984350240954
5,0.6430042963325983
6,0.70953256554766
7,0.6387754635301806
8,0.6452905987094667
9,0.287717128154864
10,0.689644041493098
11,0.6624381605815568
12,0.733196046720575
13,0.7287378583680469
14,0.7274797353589806
15,0.7267949358817283
16,0.7099919300824962
17,0.7289662991096952
18,0.7219929102344197
19,0.7353670832312342
20,0.7368543004165645
21,0.7247374663072776
22,0.7298807808543658
23,0.7160489422527159
24,0.7405115739606305
25,0.7318236379972229
26,0.7430249448664543
27,0.7456561953769502
28,0.7390250755533774
29,0.6255165563995753
