iteration,Accuracy
0,0.687008040660248
1,0.9142822327863334
2,0.6701286665971893
3,0.5610265269638691
4,0.5688781555382753
5,0.7175229475473179
6,0.5657103919320833
7,0.932640911969601
8,0.27766516221611176
9,0.5648249573115495
10,0.6095203661987638
11,0.6359827963540455
12,0.926057030166505
13,0.8937715747027841
14,0.8631297648728165
15,0.7765251200487411
16,0.6288933870980672
17,0.779564377389952
18,0.5639384805316616
19,0.27766516221611176
20,0.889338469308407
21,0.827802326420343
22,0.9268170850001202
23,0.9106110260459672
24,0.919853376195477
25,0.8474296342020669
26,0.821346950882228
27,0.9284628149525818
28,0.9237781483233259
29,0.925803865609543
