iteration,Accuracy
0,0.6802967858164385
1,0.6895710864358807
2,0.5420687064287939
3,0.4736082615062137
4,0.7112606993592123
5,0.452049794444231
6,0.700942183971346
7,0.4892859978740026
8,0.4947738032726699
9,0.5181586642930631
10,0.5342278744722361
11,0.6515539845374249
12,0.6746789445148841
13,0.5499073184684281
14,0.4529647417425494
15,0.5113656331245757
16,0.4645933496411846
17,0.5495156738942039
18,0.7089100634810859
19,0.481447044308688
20,0.4553164875791379
21,0.6984573285007449
22,0.5646701075378987
23,0.6646183663972883
24,0.5591826436649121
25,0.42892577366239326
26,0.5744681377885359
27,0.4519192462528229
28,0.5525205022135132
29,0.528742374371913
