iteration,Accuracy
0,0.7100867902135816
1,0.5617958274099972
2,0.6644864521031578
3,0.7159656425165319
4,0.682647933983086
5,0.4981703615476237
6,0.49804049640757675
7,0.49150668323066216
8,0.4997386474729234
9,0.5198582668425524
10,0.46589977075088684
11,0.4856276601648715
12,0.49242239896176193
13,0.6800341525680597
14,0.4909844904650299
15,0.673895826129276
16,0.40606225159343073
17,0.6932319002061961
18,0.6718062012525454
19,0.7185761794375927
20,0.7197516254487862
21,0.7094325977723988
22,0.5725091464846335
23,0.7175321354320087
24,0.5352749922089454
25,0.7200157101813074
26,0.6668364903113434
27,0.5674138394743921
28,0.7098243277280432
29,0.7056434557275992
