iteration,Accuracy
0,0.6120990595236571
1,0.5052248306246078
2,0.5902782153575561
3,0.6450223058960141
4,0.5658446997348906
5,0.5623198131854528
6,0.4818384327386518
7,0.5986400447398642
8,0.5263907992981647
9,0.6294728124212889
10,0.34779199378423253
11,0.4105056714608334
12,0.6289509611813373
13,0.5702905956634776
14,0.6349613862527376
15,0.38973092045439994
16,0.5246935020470195
17,0.675461977519072
18,0.57603889977502
19,0.536712132272896
20,0.6497244314664685
21,0.6302585776309217
22,0.6831727735727429
23,0.5556569033012726
24,0.7154425105552782
25,0.5683282744841895
26,0.5687194067698927
27,0.6356154933125003
28,0.6249010642794022
29,0.5178976532916671
