iteration,Accuracy
0,0.6902263888355256
1,0.665793897789902
2,0.481447641978629
3,0.472171719112204
4,0.4568846027415974
5,0.6972817117267113
6,0.6846082913897107
7,0.49581733498973285
8,0.4652464321239055
9,0.6852641914592965
10,0.5917145869887254
11,0.6814725733533127
12,0.7235423043591485
13,0.6958435470857186
14,0.7078637995585781
15,0.5975934392916757
16,0.5501690979026054
17,0.66592444598131
18,0.6813430497389463
19,0.7026378589755083
20,0.5979860230615216
21,0.7026384566454494
22,0.7014625837271552
23,0.7089108319138672
24,0.7107385065935802
25,0.7062967943545806
26,0.5035284725690843
27,0.7126979248045833
28,0.7036821591253528
29,0.7057740893004274
