iteration,Accuracy
0,0.5702891441793352
1,0.34779199378423253
2,0.6179758626725238
3,0.6424108297793316
4,0.5075760641726754
5,0.4814465320201671
6,0.5263920800194669
7,0.6418863317153554
8,0.6903586446553364
9,0.38973092045439994
10,0.7030318942294967
11,0.6964976541454814
12,0.7052529211118369
13,0.6897037691627925
14,0.5521285161136085
15,0.6844788531567646
16,0.6130099085138083
17,0.7198849912270592
18,0.7151809872653613
19,0.7000245898490031
20,0.680167689109173
21,0.7189706415986817
22,0.7201469414240768
23,0.7194929197457341
24,0.7015925342486222
25,0.6669698560896162
26,0.6597845826769636
27,0.6718057743454449
28,0.6343071938115548
29,0.6229409630170379
