iteration,Accuracy
0,0.5800864059971909
1,0.4059317887834428
2,0.7213225581981105
3,0.7119143795118744
4,0.451004555098765
5,0.4675980925790738
6,0.518421297541442
7,0.45949770110526245
8,0.6818647302160578
9,0.7150519759395157
10,0.6861760650264896
11,0.6953233180927499
12,0.4835376083810402
13,0.4691662077415334
14,0.5435058464927447
15,0.5026125006937241
16,0.46093492655063334
17,0.4733471651233975
18,0.5369733994185525
19,0.4685129544959721
20,0.7177934025776651
21,0.4598896018237471
22,0.7047275692336591
23,0.6741556417907899
24,0.5764289221022614
25,0.4220015966325568
26,0.5180281161016551
27,0.6931014373962082
28,0.45113527405301335
29,0.586879864072779
